|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |     RMSE     |     RMSE     |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       2 |        3250 |       02:19:46 |         0.96 |              |       0.4573 |              |      1.0000e-05 |
|       2 |        3300 |       02:21:20 |         0.83 |              |       0.3467 |              |      1.0000e-05 |
|       2 |        3350 |       02:22:54 |         1.25 |              |       0.7863 |              |      1.0000e-05 |
|       2 |        3400 |       02:24:28 |         1.13 |              |       0.6431 |              |      1.0000e-05 |
|       2 |        3450 |       02:26:03 |         1.04 |              |       0.5372 |              |      1.0000e-05 |
|       2 |        3500 |       02:27:37 |         1.32 |              |       0.8705 |              |      1.0000e-05 |
|       2 |        3550 |       02:29:11 |         1.05 |              |       0.5521 |              |      1.0000e-05 |
|       2 |        3600 |       02:35:03 |         1.06 |         1.31 |       0.5640 |       0.8634 |      1.0000e-05 |
|       3 |        3650 |       02:36:40 |         1.18 |              |       0.6933 |              |      1.0000e-06 |
|       3 |        3700 |       02:38:14 |         1.26 |              |       0.7929 |              |      1.0000e-06 |
|       3 |        3750 |       02:39:48 |         1.57 |              |       1.2382 |              |      1.0000e-06 |
|       3 |        3800 |       02:41:21 |         1.35 |              |       0.9103 |              |      1.0000e-06 |
|       3 |        3850 |       02:42:54 |         1.23 |              |       0.7545 |              |      1.0000e-06 |
|       3 |        3900 |       02:44:27 |         1.11 |              |       0.6112 |              |      1.0000e-06 |
|       3 |        3950 |       02:46:00 |         1.23 |              |       0.7523 |              |      1.0000e-06 |
|       3 |        4000 |       02:47:34 |         1.30 |              |       0.8421 |              |      1.0000e-06 |
|       3 |        4050 |       02:49:07 |         1.81 |              |       1.6290 |              |      1.0000e-06 |
|       3 |        4100 |       02:50:41 |         0.98 |              |       0.4835 |              |      1.0000e-06 |
|       3 |        4150 |       02:52:14 |         1.08 |              |       0.5799 |              |      1.0000e-06 |
|       3 |        4200 |       02:58:06 |         1.61 |         1.31 |       1.3036 |       0.8552 |      1.0000e-06 |
|       3 |        4250 |       02:59:41 |         1.21 |              |       0.7301 |              |      1.0000e-06 |
|       3 |        4300 |       03:01:14 |         1.42 |              |       1.0151 |              |      1.0000e-06 |
|       3 |        4350 |       03:02:47 |         0.89 |              |       0.3987 |              |      1.0000e-06 |
|       3 |        4400 |       03:04:21 |         1.26 |              |       0.7899 |              |      1.0000e-06 |
|       3 |        4450 |       03:05:54 |         1.15 |              |       0.6592 |              |      1.0000e-06 |
|       3 |        4500 |       03:07:28 |         1.59 |              |       1.2580 |              |      1.0000e-06 |
|       3 |        4550 |       03:09:01 |         1.23 |              |       0.7537 |              |      1.0000e-06 |
|       3 |        4600 |       03:10:34 |         1.17 |              |       0.6800 |              |      1.0000e-06 |
|       3 |        4650 |       03:12:08 |         0.89 |              |       0.3919 |              |      1.0000e-06 |
|       3 |        4700 |       03:13:41 |         1.36 |              |       0.9235 |              |      1.0000e-06 |
|       3 |        4750 |       03:15:15 |         1.30 |              |       0.8460 |              |      1.0000e-06 |
|       3 |        4800 |       03:21:07 |         1.24 |         1.30 |       0.7707 |       0.8509 |      1.0000e-06 |
|       3 |        4850 |       03:22:41 |         1.59 |              |       1.2704 |              |      1.0000e-06 |
|       3 |        4900 |       03:24:15 |         1.61 |              |       1.2939 |              |      1.0000e-06 |
|       3 |        4950 |       03:25:48 |         1.08 |              |       0.5805 |              |      1.0000e-06 |
|       3 |        5000 |       03:27:22 |         1.26 |              |       0.7946 |              |      1.0000e-06 |
|       3 |        5050 |       03:28:55 |         1.05 |              |       0.5525 |              |      1.0000e-06 |
|       3 |        5100 |       03:30:28 |         0.93 |              |       0.4368 |              |      1.0000e-06 |
|       3 |        5150 |       03:32:03 |         1.63 |              |       1.3267 |              |      1.0000e-06 |
|       3 |        5200 |       03:33:37 |         1.62 |              |       1.3115 |              |      1.0000e-06 |
|       3 |        5250 |       03:35:11 |         1.25 |              |       0.7758 |              |      1.0000e-06 |
|       3 |        5300 |       03:36:45 |         1.46 |              |       1.0711 |              |      1.0000e-06 |
|       3 |        5350 |       03:38:20 |         1.48 |              |       1.1001 |              |      1.0000e-06 |
|       3 |        5400 |       03:44:10 |         1.44 |         1.31 |       1.0317 |       0.8631 |      1.0000e-06 |
|       4 |        5450 |       03:45:47 |         1.46 |              |       1.0686 |              |      1.0000e-06 |
|       4 |        5500 |       03:47:22 |         1.20 |              |       0.7161 |              |      1.0000e-06 |
|       4 |        5550 |       03:48:56 |         1.47 |              |       1.0830 |              |      1.0000e-06 |
|       4 |        5600 |       03:50:30 |         1.23 |              |       0.7549 |              |      1.0000e-06 |
|       4 |        5650 |       03:52:04 |         1.20 |              |       0.7245 |              |      1.0000e-06 |
|       4 |        5700 |       03:53:39 |         1.00 |              |       0.4992 |              |      1.0000e-06 |
|       4 |        5750 |       03:55:12 |         1.94 |              |       1.8842 |              |      1.0000e-06 |
